a	30436336
e	26285911
i	19183450
n	18111872
r	16849487
l	15658420
s	14947362
o	14631790
t	12181305
 	10389292
m	9546229
h	9393752
y	8525416
c	8383850
d	8297077
b	6164014
u	6127226
k	5850226
g	5233627
_	5075483
p	3788261
j	3513102
f	2972720
w	2846319
v	2629419
z	2288361
1	1657530
x	1534252
2	1189204
.	997771
0	899991
3	849015
9	715452
4	616982
7	509444
5	498204
8	488115
q	450274
6	420465
️	340039
-	214126
'	189362
✨	177603
!	146822
♡	140379
❤	121784
♥	120459
)	114647
:	113176
$	106632
™	98368
#	94606
(	89281
*	72305
•	66283
/	64611
α	58742
|	52762
ا	50605
✌	50292
,	49718
@	44680
‍	44416
~	43976
é	43490
👑	40646
&	38311
ي	36649
🌻	32614
ل	31251
☆	30308
🦋	28285
⚡	27945
†	27902
ι	27438
🏾	26788
🖤	26556
م	26084
★	25874
ㅤ	25673
є	24148
;	23695
ر	23471
ن	23366
⃣	23189
’	23141
®	22755
🌸	22565
ℓ	22501
💋	22378
🏽	22243
♛	21493
❄	21368
🌹	21277
я	20379
♀	19878
í	19513
?	19474
]	19132
🌈	18927
и	18711
[	18576
💕	18499
⚓	18152
^	17533
∞	17205
☀	17093
🎄	16953
❁	16735
♔	16698
و	16421
ø	16392
á	16374
🥀	16330
ñ	16260
💜	16090
⠀	15697
н	15577
د	15551
⭐	15524
σ	15279
т	14419
♕	13906
✈	13881
ε	13687
ツ	13638
ѕ	13445
☮	13382
м	13312
🏼	13132
💙	13100
°	12958
🏻	12763
🇸	12616
♚	12462
〽	12138
🇺	12087
ه	12034
©	11985
💫	11807
س	11649
ب	11266
δ	11194
☯	11152
☁	11015
ë	10995
🏳	10833
🇬	10811
ع	10642
🌙	10623
🔥	10611
а	10371
💛	10292
η	10281
ᴀ	10191
♂	10174
☺	10024
ـ	9973
💰	9932
ღ	9771
❣	9671
+	9654
❥	9533
€	9281
ł	9146
к	9094
🇦	9049
🇲	8878
у	8845
𝒶	8818
▲	8793
è	8748
⚾	8739
ä	8694
🏁	8691
🇹	8666
♠	8631
в	8620
😈	8614
ح	8572
ó	8567
ف	8561
🦄	8499
💎	8452
ᴇ	8284
𝖆	8225
𝑒	8186
ً	8174
🌺	8125
♏	8092
🇭	8071
ɴ	8034
⚽	8007
ö	7906
🇵	7882
£	7735
¥	7709
υ	7617
ɪ	7540
ɑ	7493
🇳	7408
☾	7394
ʀ	7384
𝐚	7291
ü	7287
🇨	7262
🇷	7250
✊	7241
👸	7241
✖	7241
✞	7167
𝓪	7129
`	6968
\	6964
ï	6946
🇪	6816
☠	6814
🇧	6805
𝕒	6769
ı	6750
♊	6740
🌼	6719
å	6714
♌	6654
🤘	6549
ة	6547
𝖊	6535
ت	6494
💖	6474
ش	6461
🕊	6389
🐝	6378
𝓮	6370
♋	6314
λ	6310
💚	6266
ⓐ	6255
=	6217
✝	6213
ʟ	6190
🍒	6166
☃	6136
‏	6014
✿	5962
𝒾	5959
♪	5890
	5831
♍	5806
🌊	5758
𝕖	5632
🌟	5544
🎃	5536
🧚	5522
𝐞	5517
𝖎	5515
❌	5503
♎	5485
ⓜ	5456
о	5434
🎀	5396
⚜	5369
𝔞	5337
✧	5315
☪	5291
‼	5281
🇮	5273
♈	5185
❗	5181
е	5166
𝓲	5161
♉	5159
}	5138
ǝ	5057
{	5022
💯	5020
ج	5020
ك	5012
ひ	5011
𝚊	4986
👻	4951
