category	subcategory	phrase	count
family	aunt-uncle	my uncle	11065
family	aunt-uncle	my aunt	7978
family	aunt-uncle	my auntie	5128
family	child	my son	75265
family	child	my daughter	45878
family	child	my kids	7522
family	child	my sons	6273
family	child	my child	5835
family	child	my children	5474
family	child	my beautiful daughter	3585
family	child	my daughters	3229
family	child	my only child	2572
family	child	my daughter is	1231
family	child	my lovely daughter	1203
family	child	my son is	1018
family	family-other	my sister in law	3224
family	family-other	my brother in law	2561
family	family-other	my sis in law	1510
family	nibling	my niece	15210
family	nibling	my nephew	15145
family	nibling	my beautiful niece	2048
family	nibling	my nieces	1339
family	nibling	my nephews	1233
family	parent	my mom	38821
family	parent	my dad	30294
family	parent	my daddy	9810
family	parent	my mum	8828
family	parent	my mother	8403
family	parent	my mommy	7902
family	parent	my parents	6963
family	parent	my father	5612
family	parent	my momma	4881
family	parent	my mom is	2371
family	parent	my dad is	2249
family	parent	my daddy is	1917
family	parent	my mommy is	1627
family	parent	my parents are	1134
family	parent	my beautiful mother	877
family	parent	my mom and dad	753
family	parent	my father is	638
family/social	brother	my bro	642961
family/social	brother	my brother	441574
family/social	brother	my bros	176209
family/social	brother	my brothers	105126
family/social	brother	my lil bro	68774
family/social	brother	my big bro	53085
family/social	brother	my brotha	40736
family/social	brother	my big brother	31645
family/social	brother	my little brother	27555
family/social	brother	my bruh	21253
family/social	brother	my lil brother	17562
family/social	brother	my little bro	14900
family/social	brother	my brudda	14365
family/social	brother	my brothas	8612
family/social	brother	my brova	7772
family/social	brother	my broski	7713
family/social	brother	my bra	6839
family/social	brother	my brutha	5744
family/social	brother	my lil bros	5674
family/social	brother	my lil bruh	5653
family/social	brother	my baby brother	5482
family/social	brother	my brah	4416
family/social	brother	my big bruh	4158
family/social	brother	my big bros	3866
family/social	brother	my bruddas	3731
family/social	brother	my blood brother	3371
family/social	brother	my older brother	3254
family/social	brother	my lil bra	3100
family/social	brother	my bro bro	2949
family/social	brother	my baby bro	2850
family/social	brother	my bruhs	2730
family/social	brother	my brother is	2664
family/social	brother	my best bro	2371
family/social	brother	my big brothers	2250
family/social	brother	my big bra	2199
family/social	brother	my twin brother	2167
family/social	brother	my brovas	2034
family/social	brother	my long lost brother	1975
family/social	brother	my lovely brother	1883
family/social	brother	my lil brotha	1747
family/social	brother	my lil brothers	1715
family/social	brother	my best bros	1710
family/social	brother	my favorite brother	1654
family/social	brother	my other brother	1631
family/social	brother	my little brothers	1574
family/social	brother	my younger brother	1551
family/social	brother	my beloved brother	1523
family/social	brother	my mf brother	1492
family/social	brother	my lil big bro	1382
family/social	brother	my main bro	1364
family/social	brother	my fucking brother	1268
family/social	brother	my big brotha	1232
family/social	brother	my bruthas	1163
family/social	brother	my lil brah	1162
family/social	brother	my dear brother	1090
family/social	brother	my little big brother	1063
family/social	brother	my main bros	1025
family/social	brother	my little bros	1007
family/social	brother	my amazing brother	1006
family/social	brother	my lil brudda	992
family/social	brother	my two brothers	980
family/social	brother	my day 1 bro	976
family/social	brother	my older bro	951
family/social	brother	my bruh bruh	944
family/social	brother	my blood brothers	897
family/social	brother	my blood bro	759
family/social	brother	my twin bro	746
family/social	brother	my bro is	677
family/social	cousin	my cousin	261792
family/social	cousin	my cuz	43164
family/social	cousin	my cousins	33475
family/social	cousin	my cuzzo	28207
family/social	cousin	my beautiful cousin	20014
family/social	cousin	my lil cousin	15729
family/social	cousin	my little cousin	12891
family/social	cousin	my favorite cousin	12430
family/social	cousin	my lil cuz	11340
family/social	cousin	my big cousin	9891
family/social	cousin	my cuzin	7649
family/social	cousin	my cuzo	7163
family/social	cousin	my big cuz	5716
family/social	cousin	my lovely cousin	5060
family/social	cousin	my cuzzin	5025
family/social	cousin	my baby cousin	4571
family/social	cousin	my fav cousin	4208
family/social	cousin	my lil cuzzo	3138
family/social	cousin	my gorgeous cousin	2873
family/social	cousin	my favorite cousins	2662
family/social	cousin	my amazing cousin	2621
family/social	cousin	my big cuzzo	1867
family/social	cousin	my awesome cousin	1671
family/social	cousin	my beautiful cousins	1590
family/social	cousin	my lil cuzin	1549
family/social	cousin	my wonderful cousin	1426
family/social	cousin	my lil cousins	1259
family/social	cousin	my little cuz	1215
family/social	cousin	my long lost cousin	1099
family/social	cousin	my pretty cousin	1045
family/social	cousin	my lil cuzzin	1028
family/social	family	my fam	79998
family/social	family	my family	76723
family/social	family	my second family	6983
family/social	family	my little family	1737
family/social	family	my 2nd family	1726
family/social	family	my twitter family	1708
family/social	family	my lovely family	1452
family/social	family	my twitter fam	1396
family/social	family	my new family	1361
family/social	family	my other family	1336
family/social	family	my second fam	1204
family/social	family	my big family	1056
family/social	family	my extended family	981
family/social	family	my family is	981
family/social	friend	my twin	82890
family/social	friend	my birthday twin	4982
family/social	friend	my lovess	1888
family/social	friend	my huns	1671
family/social	friend	my long lost twin	1196
family/social	sister	my sister	358365
family/social	sister	my sis	199837
family/social	sister	my sisters	69963
family/social	sister	my lil sis	47865
family/social	sister	my little sister	40000
family/social	sister	my sissy	39741
family/social	sister	my big sis	26181
family/social	sister	my big sister	22680
family/social	sister	my sista	22380
family/social	sister	my lil sister	17539
family/social	sister	my beautiful sister	16748
family/social	sister	my little sis	11164
family/social	sister	my baby sister	10432
family/social	sister	my lovely sister	8708
family/social	sister	my sist	7083
family/social	sister	my baby sis	6674
family/social	sister	my beloved sister	4321
family/social	sister	my sister is	3865
family/social	sister	my amazing sister	3711
family/social	sister	my twin sister	3682
family/social	sister	my sistah	3290
family/social	sister	my little sisters	3113
family/social	sister	my soul sister	2906
family/social	sister	my beautiful sisters	2813
family/social	sister	my big sissy	2688
family/social	sister	my sissys	2659
family/social	sister	my lil sisters	2651
family/social	sister	my beautiful sis	2622
family/social	sister	my favorite sister	2502
family/social	sister	my older sister	2452
family/social	sister	my big sisters	2413
family/social	sister	my long lost sister	2304
family/social	sister	my lovely sis	2229
family/social	sister	my gorgeous sister	2213
family/social	sister	my wonderful sister	1848
family/social	sister	my lovely sisters	1804
family/social	sister	my lil sista	1763
family/social	sister	my beautiful little sister	1753
family/social	sister	my good sis	1684
